name,selling_price,compare_price,cost_price,stock,category,description,image_url
"Nano Glass Foot File - Dead Skin Remover",8900,14900,700,50,Beauty,"Premium nano glass foot file that removes dead skin instantly. Japanese technology, gentle yet effective. Perfect for smooth, baby-soft feet.",
"Car Parking Number Plate - Move Phone Sign",3900,5900,127,100,Automotive,"High-end car parking number plate with phone holder. Perfect for dashboards. Creative design, easy to read.",
"Temperature Twist Fidget Toy",2900,4900,162,200,Toys,"Color-changing twist toy that responds to temperature. Great for attention training and stress relief. Perfect gift for kids and adults.",
"Wireless Bluetooth Speaker RGB Light",9900,14900,271,30,Electronics,"Multifunctional wireless speaker with RGB color lights. Great sound quality, perfect for home or office. Desktop stand included.",
"Stainless Steel Thermos Mug",12900,19900,664,40,Home,"Intelligent ceramic-lined thermos cup. Keeps drinks hot/cold for hours. High-grade portable design.",
"Solar Power Bank 20000mAh",24900,34900,1185,25,Electronics,"Hidden solar panel charging with digital display. Wireless charging capability. LED flashlight included. Genuine high capacity.",
"Science Experiment DIY Kit",4900,7900,160,100,Toys,"Complete science project kit for students. DIY wooden assembly toy with teaching aids. Educational and fun!",
"Candle Making Supplies Kit",3500,5900,110,75,Crafts,"Complete wax melting pot set. Includes measuring cups, mixing rods. Perfect for DIY candle making at home.",
"Steampunk Spider Model Kit",14900,22900,483,20,Toys,"3D mechanical spider puzzle with watch core. Handmade DIY assembly. Unique gift for collectors.",
"Walnut Wood Tea Tray",7900,12900,219,30,Home,"Elegant solid wood pot holder tray. Simple hotel-style design. Perfect for tea service or display."
